#roi	label	R	G	B	A	
1001	ctx_lh_G_and_S_frontomargin	23	220	60	0
1002	ctx_lh_G_and_S_occipital_inf	23	60	180	0
1003	ctx_lh_G_and_S_paracentral	63	100	60	0
1004	ctx_lh_G_and_S_subcentral	63	20	220	0
1005	ctx_lh_G_and_S_transv_frontopol	13	0	250	0
1006	ctx_lh_G_and_S_cingul-Ant	26	60	0	0
1007	ctx_lh_G_and_S_cingul-Mid-Ant	26	60	75	0
1008	ctx_lh_G_and_S_cingul-Mid-Post	26	60	150	0
1009	ctx_lh_G_cingul-Post-dorsal	25	60	250	0
1010	ctx_lh_G_cingul-Post-ventral	60	25	25	0
1011	ctx_lh_G_cuneus	180	20	20	0
1012	ctx_lh_G_front_inf-Opercular	220	20	100	0
1013	ctx_lh_G_front_inf-Orbital	140	60	60	0
1014	ctx_lh_G_front_inf-Triangul	180	220	140	0
1015	ctx_lh_G_front_middle	140	100	180	0
1016	ctx_lh_G_front_sup	180	20	140	0
1017	ctx_lh_G_Ins_lg_and_S_cent_ins	23	10	10	0
1018	ctx_lh_G_insular_short	225	140	140	0
1019	ctx_lh_G_occipital_middle	180	60	180	0
1020	ctx_lh_G_occipital_sup	20	220	60	0
1021	ctx_lh_G_oc-temp_lat-fusifor	60	20	140	0
1022	ctx_lh_G_oc-temp_med-Lingual	220	180	140	0
1023	ctx_lh_G_oc-temp_med-Parahip	65	100	20	0
1024	ctx_lh_G_orbital	220	60	20	0
1025	ctx_lh_G_pariet_inf-Angular	20	60	220	0
1026	ctx_lh_G_pariet_inf-Supramar	100	100	60	0
1027	ctx_lh_G_parietal_sup	220	180	220	0
1028	ctx_lh_G_postcentral	20	180	140	0
1029	ctx_lh_G_precentral	60	140	180	0
1030	ctx_lh_G_precuneus	25	20	140	0
1031	ctx_lh_G_rectus	20	60	100	0
1032	ctx_lh_G_subcallosal	60	220	20	0
1033	ctx_lh_G_temp_sup-G_T_transv	60	60	220	0
1034	ctx_lh_G_temp_sup-Lateral	220	60	220	0
1035	ctx_lh_G_temp_sup-Plan_polar	65	220	60	0
1036	ctx_lh_G_temp_sup-Plan_tempo	25	140	20	0
1037	ctx_lh_G_temporal_inf	220	220	100	0
1038	ctx_lh_G_temporal_middle	180	60	60	0
1039	ctx_lh_Lat_Fis-ant-Horizont	61	20	220	0
1040	ctx_lh_Lat_Fis-ant-Vertical	61	20	60	0
1041	ctx_lh_Lat_Fis-post	61	60	100	0
1042	ctx_lh_Medial_wall	25	25	25	0
1043	ctx_lh_Pole_occipital	140	20	60	0
1044	ctx_lh_Pole_temporal	220	180	20	0
1045	ctx_lh_S_calcarine	63	180	180	0
1046	ctx_lh_S_central	221	20	10	0
1047	ctx_lh_S_cingul-Marginalis	221	20	100	0
1048	ctx_lh_S_circular_insula_ant	221	60	140	0
1049	ctx_lh_S_circular_insula_inf	221	20	220	0
1050	ctx_lh_S_circular_insula_sup	61	220	220	0
1051	ctx_lh_S_collat_transv_ant	100	200	200	0
1052	ctx_lh_S_collat_transv_post	10	200	200	0
1053	ctx_lh_S_front_inf	221	220	20	0
1054	ctx_lh_S_front_middle	141	20	100	0
1055	ctx_lh_S_front_sup	61	220	100	0
1056	ctx_lh_S_interm_prim-Jensen	141	60	20	0
1057	ctx_lh_S_intrapariet_and_P_trans	143	20	220	0
1058	ctx_lh_S_oc_middle_and_Lunatus	101	60	220	0
1059	ctx_lh_S_oc_sup_and_transversal	21	20	140	0
1060	ctx_lh_S_occipital_ant	61	20	180	0
1061	ctx_lh_S_oc-temp_lat	221	140	20	0
1062	ctx_lh_S_oc-temp_med_and_Lingual	141	100	220	0
1063	ctx_lh_S_orbital_lateral	221	100	20	0
1064	ctx_lh_S_orbital_med-olfact	181	200	20	0
1065	ctx_lh_S_orbital-H_Shaped	101	20	20	0
1066	ctx_lh_S_parieto_occipital	101	100	180	0
1067	ctx_lh_S_pericallosal	181	220	20	0
1068	ctx_lh_S_postcentral	21	140	200	0
1069	ctx_lh_S_precentral-inf-part	21	20	240	0
1070	ctx_lh_S_precentral-sup-part	21	20	200	0
1071	ctx_lh_S_suborbital	21	20	60	0
1072	ctx_lh_S_subparietal	101	60	60	0
1073	ctx_lh_S_temporal_inf	21	180	180	0
1074	ctx_lh_S_temporal_sup	223	220	60	0
1075	ctx_lh_S_temporal_transverse	221	60	60	0
2001	ctx_rh_G_and_S_frontomargin	23	220	60	0
2002	ctx_rh_G_and_S_occipital_inf	23	60	180	0
2003	ctx_rh_G_and_S_paracentral	63	100	60	0
2004	ctx_rh_G_and_S_subcentral	63	20	220	0
2005	ctx_rh_G_and_S_transv_frontopol	13	0	250	0
2006	ctx_rh_G_and_S_cingul-Ant	26	60	0	0
2007	ctx_rh_G_and_S_cingul-Mid-Ant	26	60	75	0
2008	ctx_rh_G_and_S_cingul-Mid-Post	26	60	150	0
2009	ctx_rh_G_cingul-Post-dorsal	25	60	250	0
2010	ctx_rh_G_cingul-Post-ventral	60	25	25	0
2011	ctx_rh_G_cuneus	180	20	20	0
2012	ctx_rh_G_front_inf-Opercular	220	20	100	0
2013	ctx_rh_G_front_inf-Orbital	140	60	60	0
2014	ctx_rh_G_front_inf-Triangul	180	220	140	0
2015	ctx_rh_G_front_middle	140	100	180	0
2016	ctx_rh_G_front_sup	180	20	140	0
2017	ctx_rh_G_Ins_lg_and_S_cent_ins	23	10	10	0
2018	ctx_rh_G_insular_short	225	140	140	0
2019	ctx_rh_G_occipital_middle	180	60	180	0
2020	ctx_rh_G_occipital_sup	20	220	60	0
2021	ctx_rh_G_oc-temp_lat-fusifor	60	20	140	0
2022	ctx_rh_G_oc-temp_med-Lingual	220	180	140	0
2023	ctx_rh_G_oc-temp_med-Parahip	65	100	20	0
2024	ctx_rh_G_orbital	220	60	20	0
2025	ctx_rh_G_pariet_inf-Angular	20	60	220	0
2026	ctx_rh_G_pariet_inf-Supramar	100	100	60	0
2027	ctx_rh_G_parietal_sup	220	180	220	0
2028	ctx_rh_G_postcentral	20	180	140	0
2029	ctx_rh_G_precentral	60	140	180	0
2030	ctx_rh_G_precuneus	25	20	140	0
2031	ctx_rh_G_rectus	20	60	100	0
2032	ctx_rh_G_subcallosal	60	220	20	0
2033	ctx_rh_G_temp_sup-G_T_transv	60	60	220	0
2034	ctx_rh_G_temp_sup-Lateral	220	60	220	0
2035	ctx_rh_G_temp_sup-Plan_polar	65	220	60	0
2036	ctx_rh_G_temp_sup-Plan_tempo	25	140	20	0
2037	ctx_rh_G_temporal_inf	220	220	100	0
2038	ctx_rh_G_temporal_middle	180	60	60	0
2039	ctx_rh_Lat_Fis-ant-Horizont	61	20	220	0
2040	ctx_rh_Lat_Fis-ant-Vertical	61	20	60	0
2041	ctx_rh_Lat_Fis-post	61	60	100	0
2042	ctx_rh_Medial_wall	25	25	25	0
2043	ctx_rh_Pole_occipital	140	20	60	0
2044	ctx_rh_Pole_temporal	220	180	20	0
2045	ctx_rh_S_calcarine	63	180	180	0
2046	ctx_rh_S_central	221	20	10	0
2047	ctx_rh_S_cingul-Marginalis	221	20	100	0
2048	ctx_rh_S_circular_insula_ant	221	60	140	0
2049	ctx_rh_S_circular_insula_inf	221	20	220	0
2050	ctx_rh_S_circular_insula_sup	61	220	220	0
2051	ctx_rh_S_collat_transv_ant	100	200	200	0
2052	ctx_rh_S_collat_transv_post	10	200	200	0
2053	ctx_rh_S_front_inf	221	220	20	0
2054	ctx_rh_S_front_middle	141	20	100	0
2055	ctx_rh_S_front_sup	61	220	100	0
2056	ctx_rh_S_interm_prim-Jensen	141	60	20	0
2057	ctx_rh_S_intrapariet_and_P_trans	143	20	220	0
2058	ctx_rh_S_oc_middle_and_Lunatus	101	60	220	0
2059	ctx_rh_S_oc_sup_and_transversal	21	20	140	0
2060	ctx_rh_S_occipital_ant	61	20	180	0
2061	ctx_rh_S_oc-temp_lat	221	140	20	0
2062	ctx_rh_S_oc-temp_med_and_Lingual	141	100	220	0
2063	ctx_rh_S_orbital_lateral	221	100	20	0
2064	ctx_rh_S_orbital_med-olfact	181	200	20	0
2065	ctx_rh_S_orbital-H_Shaped	101	20	20	0
2066	ctx_rh_S_parieto_occipital	101	100	180	0
2067	ctx_rh_S_pericallosal	181	220	20	0
2068	ctx_rh_S_postcentral	21	140	200	0
2069	ctx_rh_S_precentral-inf-part	21	20	240	0
2070	ctx_rh_S_precentral-sup-part	21	20	200	0
2071	ctx_rh_S_suborbital	21	20	60	0
2072	ctx_rh_S_subparietal	101	60	60	0
2073	ctx_rh_S_temporal_inf	21	180	180	0
2074	ctx_rh_S_temporal_sup	223	220	60	0
2075	ctx_rh_S_temporal_transverse	221	60	60	0